Time Window,Date,Underlying,TEF.MC,REP.MC,BBVA.MC
250,2000-05-12,BBVA.MC,,,1.0
250,2000-05-15,TEF.MC,1.0,,
250,2000-05-15,REP.MC,,1.0,
250,2000-05-15,BBVA.MC,,,1.0
250,2000-05-16,TEF.MC,1.0,,
250,2000-05-16,REP.MC,,1.0,
250,2000-05-16,BBVA.MC,,,1.0
250,2000-05-17,TEF.MC,1.0,,
250,2000-05-17,REP.MC,,1.0,
250,2000-05-17,BBVA.MC,,,1.0
250,2000-05-18,TEF.MC,1.0,,
250,2000-05-18,REP.MC,,1.0,
250,2000-05-18,BBVA.MC,,,1.0
250,2000-05-19,TEF.MC,1.0,,
250,2000-05-19,REP.MC,,1.0,
250,2000-05-19,BBVA.MC,,,1.0
250,2000-05-22,TEF.MC,1.0,,
250,2000-05-22,REP.MC,,1.0,
250,2000-05-22,BBVA.MC,,,1.0
250,2000-05-23,TEF.MC,1.0,,
250,2000-05-23,REP.MC,,1.0,
250,2000-05-23,BBVA.MC,,,1.0
250,2000-05-24,TEF.MC,1.0,,
250,2000-05-24,REP.MC,,1.0,
250,2000-05-24,BBVA.MC,,,1.0
250,2000-05-25,TEF.MC,1.0,,
250,2000-05-25,REP.MC,,1.0,
250,2000-05-25,BBVA.MC,,,1.0
250,2000-05-26,TEF.MC,1.0,,
250,2000-05-26,REP.MC,,1.0,
250,2000-05-26,BBVA.MC,,,1.0
250,2000-05-29,TEF.MC,1.0,,
250,2000-05-29,REP.MC,,1.0,
250,2000-05-29,BBVA.MC,,,1.0
250,2000-05-30,TEF.MC,1.0,,
250,2000-05-30,REP.MC,,1.0,
250,2000-05-30,BBVA.MC,,,1.0
250,2000-05-31,TEF.MC,1.0,,
250,2000-05-31,REP.MC,,1.0,
250,2000-05-31,BBVA.MC,,,1.0
250,2000-06-01,TEF.MC,1.0,,
250,2000-06-01,REP.MC,,1.0,
250,2000-06-01,BBVA.MC,,,1.0
250,2000-06-02,TEF.MC,1.0,,
250,2000-06-02,REP.MC,,1.0,
250,2000-06-02,BBVA.MC,,,1.0
250,2000-06-05,TEF.MC,1.0,,
250,2000-06-05,REP.MC,,1.0,
250,2000-06-05,BBVA.MC,,,1.0
250,2000-06-06,TEF.MC,1.0,,
250,2000-06-06,REP.MC,,1.0,
250,2000-06-06,BBVA.MC,,,1.0
250,2000-06-07,TEF.MC,1.0,,
250,2000-06-07,REP.MC,,1.0,
250,2000-06-07,BBVA.MC,,,1.0
250,2000-06-08,TEF.MC,1.0,,
250,2000-06-08,REP.MC,,1.0,
250,2000-06-08,BBVA.MC,,,1.0
250,2000-06-09,TEF.MC,1.0,,
250,2000-06-09,REP.MC,,1.0,
250,2000-06-09,BBVA.MC,,,1.0
250,2000-06-12,TEF.MC,1.0,,
250,2000-06-12,REP.MC,,1.0,
250,2000-06-12,BBVA.MC,,,1.0
250,2000-06-13,TEF.MC,1.0,,
250,2000-06-13,REP.MC,,1.0,
250,2000-06-13,BBVA.MC,,,1.0
250,2000-06-14,TEF.MC,1.0,,
250,2000-06-14,REP.MC,,1.0,
250,2000-06-14,BBVA.MC,,,1.0
250,2000-06-15,TEF.MC,1.0,,
250,2000-06-15,REP.MC,,1.0,
250,2000-06-15,BBVA.MC,,,1.0
250,2000-06-16,TEF.MC,1.0,,
250,2000-06-16,REP.MC,,1.0,
250,2000-06-16,BBVA.MC,,,1.0
250,2000-06-19,TEF.MC,1.0,,
250,2000-06-19,REP.MC,,1.0,
250,2000-06-19,BBVA.MC,,,1.0
250,2000-06-20,TEF.MC,1.0,,
250,2000-06-20,REP.MC,,1.0,
250,2000-06-20,BBVA.MC,,,1.0
250,2000-06-21,TEF.MC,1.0,,
250,2000-06-21,REP.MC,,1.0,
250,2000-06-21,BBVA.MC,,,1.0
250,2000-06-22,TEF.MC,1.0,,
250,2000-06-22,REP.MC,,1.0,
250,2000-06-22,BBVA.MC,,,1.0
250,2000-06-23,TEF.MC,1.0,,
250,2000-06-23,REP.MC,,1.0,
250,2000-06-23,BBVA.MC,,,1.0
250,2000-06-26,TEF.MC,1.0,,
250,2000-06-26,REP.MC,,1.0,
250,2000-06-26,BBVA.MC,,,1.0
250,2000-06-27,TEF.MC,1.0,,
250,2000-06-27,REP.MC,,1.0,
250,2000-06-27,BBVA.MC,,,1.0
250,2000-06-28,TEF.MC,1.0,,
250,2000-06-28,REP.MC,,1.0,
250,2000-06-28,BBVA.MC,,,1.0
250,2000-06-29,TEF.MC,1.0,,
250,2000-06-29,REP.MC,,1.0,
250,2000-06-29,BBVA.MC,,,1.0
250,2000-06-30,TEF.MC,1.0,,
250,2000-06-30,REP.MC,,1.0,
250,2000-06-30,BBVA.MC,,,1.0
250,2000-07-03,TEF.MC,1.0,,
250,2000-07-03,REP.MC,,1.0,
250,2000-07-03,BBVA.MC,,,1.0
250,2000-07-04,TEF.MC,1.0,,
250,2000-07-04,REP.MC,,1.0,
250,2000-07-04,BBVA.MC,,,1.0
250,2000-07-05,TEF.MC,1.0,,
250,2000-07-05,REP.MC,,1.0,
250,2000-07-05,BBVA.MC,,,1.0
250,2000-07-06,TEF.MC,1.0,,
250,2000-07-06,REP.MC,,1.0,
250,2000-07-06,BBVA.MC,,,1.0
250,2000-07-07,TEF.MC,1.0,,
250,2000-07-07,REP.MC,,1.0,
250,2000-07-07,BBVA.MC,,,1.0
250,2000-07-10,TEF.MC,1.0,,
250,2000-07-10,REP.MC,,1.0,
250,2000-07-10,BBVA.MC,,,1.0
250,2000-07-11,TEF.MC,1.0,,
250,2000-07-11,REP.MC,,1.0,
250,2000-07-11,BBVA.MC,,,1.0
250,2000-07-12,TEF.MC,1.0,,
250,2000-07-12,REP.MC,,1.0,
250,2000-07-12,BBVA.MC,,,1.0
250,2000-07-13,TEF.MC,1.0,,
250,2000-07-13,REP.MC,,1.0,
250,2000-07-13,BBVA.MC,,,1.0
250,2000-07-14,TEF.MC,1.0,,
250,2000-07-14,REP.MC,,1.0,
250,2000-07-14,BBVA.MC,,,1.0
250,2000-07-17,TEF.MC,1.0,,
250,2000-07-17,REP.MC,,1.0,
250,2000-07-17,BBVA.MC,,,1.0
250,2000-07-18,TEF.MC,1.0,,
250,2000-07-18,REP.MC,,1.0,
250,2000-07-18,BBVA.MC,,,1.0
250,2000-07-19,TEF.MC,1.0,,
250,2000-07-19,REP.MC,,1.0,
250,2000-07-19,BBVA.MC,,,1.0
250,2000-07-20,TEF.MC,1.0,,
250,2000-07-20,REP.MC,,1.0,
250,2000-07-20,BBVA.MC,,,1.0
250,2000-07-21,TEF.MC,1.0,,
250,2000-07-21,REP.MC,,1.0,
250,2000-07-21,BBVA.MC,,,1.0
250,2000-07-24,TEF.MC,1.0,,
250,2000-07-24,REP.MC,,1.0,
250,2000-07-24,BBVA.MC,,,1.0
250,2000-07-25,TEF.MC,1.0,,
250,2000-07-25,REP.MC,,1.0,
250,2000-07-25,BBVA.MC,,,1.0
250,2000-07-26,TEF.MC,1.0,,
250,2000-07-26,REP.MC,,1.0,
250,2000-07-26,BBVA.MC,,,1.0
250,2000-07-27,TEF.MC,1.0,,
250,2000-07-27,REP.MC,,1.0,
250,2000-07-27,BBVA.MC,,,1.0
250,2000-07-28,TEF.MC,1.0,,
250,2000-07-28,REP.MC,,1.0,
250,2000-07-28,BBVA.MC,,,1.0
250,2000-07-31,TEF.MC,1.0,,
250,2000-07-31,REP.MC,,1.0,
250,2000-07-31,BBVA.MC,,,1.0
250,2000-08-01,TEF.MC,1.0,,
250,2000-08-01,REP.MC,,1.0,
250,2000-08-01,BBVA.MC,,,1.0
250,2000-08-02,TEF.MC,1.0,,
250,2000-08-02,REP.MC,,1.0,
250,2000-08-02,BBVA.MC,,,1.0
250,2000-08-03,TEF.MC,1.0,,
250,2000-08-03,REP.MC,,1.0,
250,2000-08-03,BBVA.MC,,,1.0
250,2000-08-04,TEF.MC,1.0,,
250,2000-08-04,REP.MC,,1.0,
250,2000-08-04,BBVA.MC,,,1.0
250,2000-08-07,TEF.MC,1.0,,
250,2000-08-07,REP.MC,,1.0,
250,2000-08-07,BBVA.MC,,,1.0
250,2000-08-08,TEF.MC,1.0,,
250,2000-08-08,REP.MC,,1.0,
250,2000-08-08,BBVA.MC,,,1.0
250,2000-08-09,TEF.MC,1.0,,
250,2000-08-09,REP.MC,,1.0,
250,2000-08-09,BBVA.MC,,,1.0
250,2000-08-10,TEF.MC,1.0,,
250,2000-08-10,REP.MC,,1.0,
250,2000-08-10,BBVA.MC,,,1.0
250,2000-08-11,TEF.MC,1.0,,
250,2000-08-11,REP.MC,,1.0,
250,2000-08-11,BBVA.MC,,,1.0
250,2000-08-14,TEF.MC,1.0,,
250,2000-08-14,REP.MC,,1.0,
250,2000-08-14,BBVA.MC,,,1.0
250,2000-08-15,TEF.MC,1.0,,
250,2000-08-15,REP.MC,,1.0,
250,2000-08-15,BBVA.MC,,,1.0
250,2000-08-16,TEF.MC,1.0,,
250,2000-08-16,REP.MC,,1.0,
250,2000-08-16,BBVA.MC,,,1.0
250,2000-08-17,TEF.MC,1.0,,
250,2000-08-17,REP.MC,,1.0,
250,2000-08-17,BBVA.MC,,,1.0
250,2000-08-18,TEF.MC,1.0,,
250,2000-08-18,REP.MC,,1.0,
250,2000-08-18,BBVA.MC,,,1.0
250,2000-08-21,TEF.MC,1.0,,
250,2000-08-21,REP.MC,,1.0,
250,2000-08-21,BBVA.MC,,,1.0
250,2000-08-22,TEF.MC,1.0,,
250,2000-08-22,REP.MC,,1.0,
250,2000-08-22,BBVA.MC,,,1.0
250,2000-08-23,TEF.MC,1.0,,
250,2000-08-23,REP.MC,,1.0,
250,2000-08-23,BBVA.MC,,,1.0
250,2000-08-24,TEF.MC,1.0,,
250,2000-08-24,REP.MC,,1.0,
250,2000-08-24,BBVA.MC,,,1.0
250,2000-08-25,TEF.MC,1.0,,
250,2000-08-25,REP.MC,,1.0,
250,2000-08-25,BBVA.MC,,,1.0
250,2000-08-28,TEF.MC,1.0,,
250,2000-08-28,REP.MC,,1.0,
250,2000-08-28,BBVA.MC,,,1.0
250,2000-08-29,TEF.MC,1.0,,
250,2000-08-29,REP.MC,,1.0,
250,2000-08-29,BBVA.MC,,,1.0
250,2000-08-30,TEF.MC,1.0,,
250,2000-08-30,REP.MC,,1.0,
250,2000-08-30,BBVA.MC,,,1.0
250,2000-08-31,TEF.MC,1.0,,
250,2000-08-31,REP.MC,,1.0,
250,2000-08-31,BBVA.MC,,,1.0
250,2000-09-01,TEF.MC,1.0,,
250,2000-09-01,REP.MC,,1.0,
250,2000-09-01,BBVA.MC,,,1.0
250,2000-09-04,TEF.MC,1.0,,
250,2000-09-04,REP.MC,,1.0,
250,2000-09-04,BBVA.MC,,,1.0
250,2000-09-05,TEF.MC,1.0,,
250,2000-09-05,REP.MC,,1.0,
250,2000-09-05,BBVA.MC,,,1.0
250,2000-09-06,TEF.MC,1.0,,
250,2000-09-06,REP.MC,,1.0,
250,2000-09-06,BBVA.MC,,,1.0
250,2000-09-07,TEF.MC,1.0,,
250,2000-09-07,REP.MC,,1.0,
250,2000-09-07,BBVA.MC,,,1.0
250,2000-09-08,TEF.MC,1.0,,
250,2000-09-08,REP.MC,,1.0,
